Birth Rate,Business Tax Rate,CO2 Emissions,Above Threshold?,GDP per Capita,Birth Rate Bin,Life Expectancy,Ease of Business (clusters),Country/Region,Days to Start Business,Ease of Business,Energy Usage,GDP per Capita (bin),GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Region,Tourism Inbound,Tourism Outbound,Year
1.8%,41%,45731,Below Threshold,"$5,843",1.5-3%,71,Friendly,Azerbaijan,8,,11586,"$4,688",$53B,5.3%,$310,306,0.034,46%,0.207,74,67,100%,1,0.227,0.714,0.059,9.1M,53.4%,Asia,$1B,$1B,12/1/2010
1.8%,97%,12710,Below Threshold,"$2,400",1.5-3%,74,Friendly,Sri Lanka,37,,9844,$0,$50B,3.4%,$82,256,0.009,12%,0.102,77,71,84%,1,0.251,0.671,0.078,20.7M,18.3%,Asia,$1B,$1B,12/1/2010
1.8%,34%,216804,Below Threshold,"$8,771",1.5-3%,75,Very Friendly,Malaysia,17,,72645,"$4,688",$248B,4.0%,$345,145,0.007,56%,0.05,77,72,120%,1,0.277,0.675,0.048,28.3M,70.9%,Asia,$18B,$8B,12/1/2010
2.0%,32%,433989,Below Threshold,"$2,946",1.5-3%,70,Moderate,Indonesia,50,,211296,$0,$709B,2.9%,$86,266,0.027,11%,0.133,72,68,88%,1,0.298,0.652,0.05,240.7M,49.9%,Asia,$8B,$8B,12/1/2010
2.1%,65%,2008823,Below Threshold,"$1,418",1.5-3%,66,Moderate,India,29,,723743,$0,"$1,710B",3.7%,$52,258,0.046,8%,0.083,67,64,62%,1,0.302,0.648,0.051,"1,205.6M",30.9%,Asia,$14B,$10B,12/1/2010
2.1%,41%,477,Below Threshold,"$2,211",1.5-3%,67,Low,Bhutan,46,,,$0,$2B,4.1%,$90,274,0.034,14%,0.14,67,67,55%,1,0.298,0.657,0.045,0.7M,34.8%,Asia,$0B,$0B,12/1/2010
2.1%,35%,56153,Below Threshold,$662,1.5-3%,70,Moderate,Bangladesh,19,,30756,$0,$100B,3.7%,$24,302,0.039,4%,0.13,70,69,45%,1,0.317,0.637,0.046,151.1M,30.5%,Asia,$0B,$1B,12/1/2010
2.2%,,53054,Below Threshold,"$4,393",1.5-3%,65,Not Clustered,Turkmenistan,,,22675,$0,$22B,2.1%,$95,,0.051,3%,,69,61,63%,1,0.292,0.666,0.041,5.0M,48.4%,Asia,,,12/1/2010
2.2%,9%,1074,Below Threshold,"$6,552",1.5-3%,77,Friendly,Maldives,9,,,"$4,688",$2B,5.8%,$379,,0.011,27%,0.104,78,76,152%,1,0.3,0.65,0.05,0.3M,40.0%,Asia,$2B,$0B,12/1/2010
2.3%,24%,11511,Below Threshold,"$2,286",1.5-3%,67,Friendly,Mongolia,13,,3454,$0,$6B,6.3%,$143,192,0.029,10%,0.201,71,63,93%,1,0.27,0.692,0.038,2.7M,67.6%,Asia,$0B,$0B,12/1/2010
2.3%,29%,248729,Below Threshold,"$9,068",1.5-3%,69,Friendly,Kazakhstan,19,,74443,"$4,688",$148B,4.3%,$398,271,0.019,32%,,73,64,122%,1,0.249,0.684,0.067,16.3M,53.7%,Asia,$1B,$1B,12/1/2010
2.3%,96%,104443,Below Threshold,"$1,377",1.5-3%,68,Low,Uzbekistan,15,,43747,$0,$39B,5.4%,$75,205,0.04,20%,,71,65,76%,1,0.298,0.658,0.044,28.6M,36.2%,Asia,$0B,,12/1/2010
2.3%,32%,3755,Below Threshold,$596,1.5-3%,67,Moderate,Nepal,31,,10218,$0,$16B,5.9%,$36,338,0.036,8%,0.08,68,66,34%,1,0.371,0.58,0.049,26.8M,16.8%,Asia,$0B,$1B,12/1/2010
2.5%,44%,81591,Below Threshold,"$2,140",1.5-3%,69,Moderate,Philippines,37,,40512,$0,$200B,4.2%,$90,195,0.025,25%,0.077,72,65,89%,1,0.353,0.61,0.037,93.4M,45.3%,Asia,$3B,$4B,12/1/2010
2.6%,21%,4180,Below Threshold,$783,1.5-3%,71,Moderate,Cambodia,102,,5024,$0,$11B,5.8%,$46,173,0.037,1%,,73,68,57%,1,0.318,0.631,0.05,14.4M,19.8%,Asia,$1B,$0B,12/1/2010
2.7%,31%,161396,Below Threshold,"$1,022",1.5-3%,66,Moderate,Pakistan,21,,84311,$0,$177B,3.0%,$30,560,0.073,8%,0.14,67,65,57%,1,0.354,0.602,0.043,173.1M,36.6%,Asia,$1B,$1B,12/1/2010
2.7%,31%,6399,Below Threshold,$880,1.5-3%,70,Friendly,Kyrgyzstan,10,,2805,$0,$5B,6.7%,$60,202,0.027,18%,0.315,74,65,99%,1,0.3,0.655,0.044,5.4M,35.3%,Asia,$0B,$0B,12/1/2010
2.8%,32%,1874,Below Threshold,"$1,123",1.5-3%,67,Low,Laos,93,,,$0,$7B,2.6%,$29,362,0.059,7%,0.226,68,66,63%,1,0.368,0.595,0.037,6.4M,33.1%,Asia,$0B,$0B,12/1/2010
3.3%,84%,2860,Below Threshold,$740,Above 3%,67,Moderate,Tajikistan,27,,2370,$0,$6B,6.0%,$44,224,0.045,12%,0.242,70,64,78%,1,0.359,0.608,0.033,7.6M,26.5%,Asia,$0B,$0B,12/1/2010
3.6%,11%,183,Below Threshold,$876,Above 3%,66,Low,Timor-Leste,110,,,$0,$1B,5.6%,$46,276,0.052,0%,0.11,68,64,44%,1,0.473,0.496,0.031,1.1M,29.5%,Asia,$0B,$0B,12/1/2010
3.8%,36%,8236,Below Threshold,$561,Above 3%,60,Low,Afghanistan,7,,,$0,$16B,8.7%,$43,275,0.075,4%,0.157,61,58,46%,1,0.486,0.492,0.022,28.4M,24.7%,Asia,$0B,$0B,12/1/2010
0.8%,48%,,Below Threshold,"$46,238",Below 1.5%,83,Very Friendly,Japan,22,,461468,"$42,192","$5,910B",10.0%,"$4,641",330,0.002,79%,0.015,86,79,102%,1,0.132,0.631,0.237,127.8M,91.2%,Asia,$13B,$40B,12/1/2011
0.9%,29%,,Below Threshold,"$24,106",Below 1.5%,81,Very Friendly,South Korea,6,,260440,"$23,440","$1,200B",7.4%,"$1,652",225,0.003,84%,0.058,84,78,108%,1,0.157,0.728,0.114,49.8M,82.0%,Asia,$17B,$22B,12/1/2011
1.0%,,,Below Threshold,"$67,062",Below 1.5%,80,Not Clustered,Macao SAR,,,,"$65,632",$37B,,,,,60%,0.053,82,78,248%,1,0.124,0.802,0.074,0.5M,100.0%,Asia,$39B,$1B,12/1/2011
1.0%,27%,,Below Threshold,"$52,858",Below 1.5%,82,Very Friendly,Singapore,3,,33447,"$51,568",$274B,4.2%,"$2,144",84,0.002,71%,0.054,84,80,150%,1,0.169,0.737,0.093,5.2M,100.0%,Asia,$18B,$21B,12/1/2011
1.1%,37%,,Below Threshold,"$5,197",Below 1.5%,74,Very Friendly,Thailand,29,,119147,"$4,688",$346B,4.1%,$214,264,0.012,24%,0.069,77,71,116%,1,0.189,0.72,0.091,66.6M,45.4%,Asia,$31B,$7B,12/1/2011
1.2%,64%,,Below Threshold,"$5,446",Below 1.5%,75,Friendly,China,38,,2727728,"$4,688","$7,320B",5.1%,$274,358,0.013,38%,0.066,76,74,72%,1,0.18,0.735,0.085,"1,344.1M",50.6%,Asia,$53B,$79B,12/1/2011
1.4%,,,Below Threshold,,Below 1.5%,70,Not Clustered,North Korea,,,19037,,,,,,0.024,,,73,66,4%,1,0.223,0.687,0.09,24.6M,60.3%,Asia,,,12/1/2011
1.4%,17%,,Below Threshold,"$3,220",Below 1.5%,74,Very Friendly,Georgia,2,,3543,$0,$14B,9.4%,$310,387,0.014,32%,0.15,78,70,101%,1,0.174,0.684,0.142,4.5M,53.0%,Asia,$1B,$0B,12/1/2011
1.4%,39%,,Below Threshold,"$3,422",Below 1.5%,75,Very Friendly,Armenia,8,,2716,$0,$10B,3.7%,$127,500,0.015,32%,0.178,78,71,108%,1,0.204,0.692,0.104,3.0M,63.4%,Asia,$0B,$1B,12/1/2011
1.4%,23%,,Below Threshold,"$35,211",Below 1.5%,84,Very Friendly,Hong Kong SAR,3,,14894,"$32,816",$249B,,,80,,72%,0.05,87,80,216%,1,0.119,0.749,0.132,7.1M,100.0%,Asia,$33B,$19B,12/1/2011
1.6%,40%,,Below Threshold,"$1,548",1.5-3%,76,Friendly,Vietnam,38,,61210,$0,$136B,6.8%,$93,941,0.02,35%,0.17,80,71,142%,1,0.231,0.703,0.065,87.8M,31.0%,Asia,$6B,$2B,12/1/2011
1.6%,17%,,Below Threshold,"$41,060",1.5-3%,78,Friendly,Brunei,101,,3832,"$37,504",$17B,2.2%,$917,96,0.008,56%,0.055,80,76,109%,1,0.262,0.7,0.038,0.4M,75.9%,Asia,,,12/1/2011
1.8%,,,Below Threshold,,1.5-3%,65,Low,Myanmar,,,14056,,,1.8%,$19,,0.042,1%,0.163,67,63,2%,1,0.257,0.692,0.051,52.4M,31.9%,Asia,$0B,$0B,12/1/2011
1.8%,113%,,Below Threshold,"$2,836",1.5-3%,74,Friendly,Sri Lanka,37,,10421,$0,$59B,3.3%,$93,256,0.009,15%,0.094,77,71,88%,1,0.251,0.669,0.08,20.9M,18.3%,Asia,$1B,$1B,12/1/2011
1.8%,34%,,Below Threshold,"$10,049",1.5-3%,75,Very Friendly,Malaysia,6,,75907,"$9,376",$289B,3.8%,$384,133,0.007,61%,0.049,77,72,128%,1,0.272,0.678,0.05,28.8M,71.7%,Asia,$20B,$10B,12/1/2011
1.9%,40%,,Below Threshold,"$7,190",1.5-3%,71,Friendly,Azerbaijan,8,,12561,"$4,688",$66B,5.0%,$359,225,0.032,50%,0.19,74,68,110%,1,0.224,0.718,0.058,9.2M,53.6%,Asia,$2B,$2B,12/1/2011
2.0%,41%,,Below Threshold,"$2,524",1.5-3%,68,Low,Bhutan,36,,,$0,$2B,3.7%,$94,274,0.033,21%,0.14,68,67,66%,1,0.291,0.663,0.046,0.7M,35.6%,Asia,$0B,$0B,12/1/2011
2.0%,32%,,Below Threshold,"$3,470",1.5-3%,70,Moderate,Indonesia,48,,209009,$0,$846B,2.9%,$99,266,0.026,11%,0.124,72,68,103%,1,0.296,0.653,0.051,243.8M,50.7%,Asia,$9B,$9B,12/1/2011
2.1%,63%,,Below Threshold,"$1,540",1.5-3%,66,Moderate,India,29,,749447,$0,"$1,880B",3.9%,$62,254,0.045,10%,0.102,68,64,73%,1,0.298,0.651,0.051,"1,221.2M",31.3%,Asia,$18B,$14B,12/1/2011
2.1%,35%,,Below Threshold,$733,1.5-3%,70,Moderate,Bangladesh,19,,31294,$0,$112B,3.8%,$27,302,0.037,5%,0.133,71,69,55%,1,0.311,0.642,0.047,152.9M,31.2%,Asia,$0B,$1B,12/1/2011
2.2%,,,Below Threshold,"$5,725",1.5-3%,65,Not Clustered,Turkmenistan,,,24710,"$4,688",$29B,2.1%,$114,,0.05,5%,,69,61,104%,1,0.289,0.671,0.041,5.1M,48.7%,Asia,,,12/1/2011
2.2%,98%,,Below Threshold,"$1,545",1.5-3%,68,Low,Uzbekistan,14,,47755,$0,$45B,5.6%,$91,205,0.039,30%,,71,65,90%,1,0.293,0.664,0.043,29.3M,36.2%,Asia,,,12/1/2011
2.2%,32%,,Below Threshold,$694,1.5-3%,68,Moderate,Nepal,29,,10391,$0,$19B,6.1%,$41,326,0.035,9%,,69,66,49%,1,0.364,0.586,0.05,27.2M,17.2%,Asia,$0B,$0B,12/1/2011
2.2%,9%,,Below Threshold,"$6,516",1.5-3%,77,Friendly,Maldives,9,,,"$4,688",$2B,8.1%,$525,,0.01,34%,0.102,78,76,160%,1,0.294,0.655,0.05,0.3M,41.2%,Asia,$2B,$0B,12/1/2011
2.3%,25%,,Below Threshold,"$3,181",1.5-3%,67,Friendly,Mongolia,13,,3607,$0,$9B,6.0%,$190,192,0.028,13%,0.166,71,63,107%,1,0.27,0.692,0.038,2.8M,68.5%,Asia,$0B,$0B,12/1/2011
2.3%,29%,,Below Threshold,"$11,355",1.5-3%,69,Friendly,Kazakhstan,19,,78101,"$9,376",$188B,3.9%,$458,188,0.018,51%,,74,64,157%,1,0.252,0.683,0.066,16.6M,53.6%,Asia,$2B,$2B,12/1/2011
2.5%,45%,,Below Threshold,"$2,357",1.5-3%,69,Moderate,Philippines,36,,40452,$0,$224B,4.4%,$105,195,0.025,29%,0.067,72,65,99%,1,0.349,0.613,0.038,95.1M,45.0%,Asia,$4B,$6B,12/1/2011
2.6%,35%,,Below Threshold,"$1,215",1.5-3%,66,Moderate,Pakistan,21,,84845,$0,$214B,3.0%,$36,560,0.072,9%,0.144,67,65,62%,1,0.349,0.608,0.043,176.2M,37.0%,Asia,$1B,$2B,12/1/2011
2.6%,21%,,Below Threshold,$878,1.5-3%,71,Moderate,Cambodia,102,,5333,$0,$13B,5.6%,$49,173,0.036,3%,,74,68,94%,1,0.314,0.634,0.051,14.6M,20.0%,Asia,$2B,$0B,12/1/2011
2.7%,33%,,Below Threshold,"$1,124",1.5-3%,70,Friendly,Kyrgyzstan,10,,3097,$0,$6B,6.2%,$71,210,0.025,20%,0.402,74,66,116%,1,0.301,0.656,0.043,5.5M,35.3%,Asia,$1B,$1B,12/1/2011
2.8%,32%,,Below Threshold,"$1,266",1.5-3%,68,Low,Laos,93,,,$0,$8B,2.8%,$35,362,0.057,9%,,69,66,84%,1,0.362,0.601,0.037,6.5M,34.3%,Asia,$0B,$0B,12/1/2011
3.3%,85%,,Below Threshold,$835,Above 3%,68,Moderate,Tajikistan,24,,2395,$0,$7B,5.8%,$48,224,0.043,13%,0.248,71,64,81%,1,0.358,0.61,0.032,7.8M,26.5%,Asia,$0B,$0B,12/1/2011
3.6%,11%,,Below Threshold,"$1,007",Above 3%,67,Low,Timor-Leste,94,,,$0,$1B,4.6%,$46,276,0.05,1%,0.11,68,65,56%,1,0.469,0.5,0.032,1.1M,30.2%,Asia,$0B,$0B,12/1/2011
3.7%,36%,,Below Threshold,$614,Above 3%,60,Low,Afghanistan,7,,,$0,$18B,8.4%,$48,275,0.074,5%,0.151,61,59,60%,1,0.481,0.497,0.022,29.1M,25.1%,Asia,$0B,$0B,12/1/2011
0.8%,49%,,Below Threshold,"$46,566",Below 1.5%,83,Very Friendly,Japan,22,23,451501,"$42,192","$5,940B",10.1%,"$4,752",330,0.002,86%,0.014,86,80,109%,1,0.131,0.625,0.244,127.6M,91.9%,Asia,$16B,$41B,12/1/2012
1.0%,37%,,Below Threshold,"$5,480",Below 1.5%,75,Very Friendly,Thailand,29,18,,"$4,688",$366B,3.9%,$215,264,0.012,27%,0.071,78,71,127%,1,0.185,0.721,0.094,66.8M,46.7%,Asia,$38B,$8B,12/1/2012
1.0%,,,Below Threshold,"$77,196",Below 1.5%,80,Not Clustered,Macao SAR,,,,"$75,008",$43B,,,,,61%,0.053,82,78,290%,1,0.122,0.8,0.077,0.6M,100.0%,Asia,$44B,$2B,12/1/2012
1.0%,29%,,Below Threshold,"$24,398",Below 1.5%,82,Very Friendly,South Korea,6,6,263002,"$23,440","$1,220B",7.5%,"$1,703",207,0.003,84%,0.054,85,78,109%,1,0.153,0.729,0.118,50.0M,82.1%,Asia,$20B,$22B,12/1/2012
1.0%,28%,,Below Threshold,"$54,025",Below 1.5%,83,Very Friendly,Singapore,3,1,,"$51,568",$287B,4.7%,"$2,426",82,0.002,72%,0.054,85,80,152%,1,0.165,0.738,0.097,5.3M,100.0%,Asia,$19B,$22B,12/1/2012
1.2%,64%,,Below Threshold,"$6,093",Below 1.5%,76,Friendly,China,33,99,,"$4,688","$8,230B",5.4%,$322,338,0.012,42%,0.06,77,74,81%,1,0.18,0.733,0.087,"1,350.7M",51.9%,Asia,$55B,,12/1/2012
1.3%,23%,,Below Threshold,"$36,760",Below 1.5%,84,Very Friendly,Hong Kong SAR,3,2,,"$32,816",$263B,,,78,,73%,0.05,86,81,229%,1,0.118,0.747,0.136,7.2M,100.0%,Asia,$38B,$20B,12/1/2012
1.4%,,,Below Threshold,,Below 1.5%,70,Not Clustered,North Korea,,,,,,,,,0.023,,,73,66,7%,1,0.22,0.688,0.092,24.8M,60.4%,Asia,,,12/1/2012
1.4%,17%,,Below Threshold,"$3,529",Below 1.5%,74,Very Friendly,Georgia,2,9,,$0,$16B,9.2%,$333,280,0.013,37%,0.148,78,70,108%,1,0.176,0.681,0.143,4.5M,53.2%,Asia,$2B,$0B,12/1/2012
1.4%,39%,,Below Threshold,"$3,354",Below 1.5%,75,Very Friendly,Armenia,8,40,,$0,$10B,4.5%,$150,380,0.015,39%,0.172,78,71,112%,1,0.203,0.693,0.103,3.0M,63.2%,Asia,$0B,$1B,12/1/2012
1.6%,34%,,Below Threshold,"$1,757",1.5-3%,76,Friendly,Vietnam,34,98,,$0,$156B,6.6%,$102,872,0.02,40%,0.135,80,71,148%,1,0.229,0.706,0.066,88.8M,31.7%,Asia,$7B,$2B,12/1/2012
1.6%,17%,,Below Threshold,"$41,127",1.5-3%,79,Friendly,Brunei,101,79,,"$37,504",$17B,2.3%,$939,96,0.008,60%,0.055,80,77,114%,1,0.258,0.702,0.04,0.4M,76.2%,Asia,,,12/1/2012
1.7%,53%,,Below Threshold,,1.5-3%,65,Low,Myanmar,72,182,,,,1.8%,$20,155,0.041,1%,0.13,67,63,7%,1,0.253,0.696,0.052,52.8M,32.5%,Asia,,,12/1/2012
1.8%,55%,,Below Threshold,"$2,922",1.5-3%,74,Friendly,Sri Lanka,8,83,,$0,$59B,3.1%,$89,254,0.009,18%,0.133,77,71,92%,1,0.252,0.666,0.082,20.3M,18.3%,Asia,$2B,$1B,12/1/2012
1.8%,25%,,Below Threshold,"$10,431",1.5-3%,75,Very Friendly,Malaysia,6,8,,"$9,376",$305B,3.9%,$410,133,0.007,66%,0.048,77,73,141%,1,0.267,0.682,0.052,29.2M,72.5%,Asia,$20B,$12B,12/1/2012
1.9%,40%,,Below Threshold,"$7,394",1.5-3%,71,Friendly,Azerbaijan,8,71,,"$4,688",$69B,5.4%,$398,214,0.031,54%,0.183,74,68,109%,1,0.222,0.721,0.057,9.3M,53.9%,Asia,$3B,$3B,12/1/2012
1.9%,32%,,Below Threshold,"$3,553",1.5-3%,71,Moderate,Indonesia,48,116,,$0,$877B,3.0%,$108,259,0.025,15%,0.118,73,69,114%,1,0.293,0.656,0.051,246.9M,51.5%,Asia,$9B,$9B,12/1/2012
2.0%,41%,,Below Threshold,"$2,509",1.5-3%,68,Low,Bhutan,36,146,,$0,$2B,3.8%,$90,274,0.031,25%,0.14,68,68,76%,1,0.285,0.668,0.047,0.7M,36.4%,Asia,$0B,$0B,12/1/2012
2.0%,35%,,Below Threshold,$750,1.5-3%,71,Moderate,Bangladesh,19,132,,$0,$116B,3.6%,$26,302,0.035,6%,0.13,71,70,63%,1,0.306,0.647,0.047,154.7M,32.0%,Asia,$0B,$1B,12/1/2012
2.1%,63%,,Below Threshold,"$1,504",1.5-3%,67,Moderate,India,27,131,,$0,"$1,860B",4.0%,$61,243,0.043,13%,0.106,68,65,70%,1,0.294,0.654,0.052,"1,236.7M",31.6%,Asia,$18B,$14B,12/1/2012
2.1%,99%,,Below Threshold,"$1,719",1.5-3%,69,Low,Uzbekistan,12,156,,$0,$51B,5.9%,$105,205,0.038,37%,,72,65,71%,1,0.289,0.668,0.043,29.8M,36.2%,Asia,,,12/1/2012
2.2%,,,Below Threshold,"$6,798",1.5-3%,66,Not Clustered,Turkmenistan,,,,"$4,688",$35B,2.0%,$129,,0.048,7%,,70,61,114%,1,0.286,0.673,0.041,5.2M,49.0%,Asia,,,12/1/2012
2.2%,32%,,Below Threshold,$699,1.5-3%,68,Moderate,Nepal,29,103,,$0,$19B,5.5%,$36,326,0.033,11%,,69,67,61%,1,0.356,0.594,0.051,27.5M,17.5%,Asia,$0B,$1B,12/1/2012
2.2%,27%,,Below Threshold,"$6,244",1.5-3%,78,Friendly,Maldives,9,81,,"$4,688",$2B,8.5%,$558,252,0.009,39%,0.105,79,77,166%,1,0.29,0.66,0.05,0.3M,42.3%,Asia,$2B,$0B,12/1/2012
2.3%,25%,,Below Threshold,"$3,691",1.5-3%,67,Friendly,Mongolia,12,80,,$0,$10B,6.3%,$232,192,0.027,16%,0.181,71,63,121%,1,0.271,0.691,0.038,2.8M,69.5%,Asia,$0B,$0B,12/1/2012
2.3%,29%,,Below Threshold,"$12,149",1.5-3%,70,Friendly,Kazakhstan,19,53,,"$9,376",$204B,4.2%,$521,188,0.016,53%,,74,65,186%,1,0.255,0.68,0.066,16.8M,53.5%,Asia,$2B,$2B,12/1/2012
2.5%,45%,,Below Threshold,"$2,585",1.5-3%,69,Moderate,Philippines,36,133,,$0,$250B,4.6%,$119,193,0.024,36%,0.057,72,65,106%,1,0.345,0.616,0.038,96.7M,44.8%,Asia,$5B,$7B,12/1/2012
2.6%,35%,,Below Threshold,"$1,256",1.5-3%,67,Moderate,Pakistan,21,106,,$0,$225B,3.1%,$39,560,0.071,10%,0.135,67,66,67%,1,0.343,0.613,0.044,179.2M,37.4%,Asia,$1B,$2B,12/1/2012
2.6%,21%,,Below Threshold,$945,1.5-3%,72,Moderate,Cambodia,102,135,,$0,$14B,5.4%,$51,173,0.034,5%,,74,69,129%,1,0.312,0.635,0.053,14.9M,20.1%,Asia,$2B,$0B,12/1/2012
2.7%,32%,,Below Threshold,"$1,412",1.5-3%,68,Low,Laos,92,163,,$0,$9B,2.9%,$40,362,0.055,11%,,69,66,65%,1,0.356,0.606,0.038,6.6M,35.4%,Asia,$0B,$0B,12/1/2012
2.8%,33%,,Below Threshold,"$1,178",1.5-3%,70,Friendly,Kyrgyzstan,10,70,,$0,$7B,7.1%,$84,210,0.023,22%,0.128,74,66,124%,1,0.302,0.656,0.042,5.6M,35.4%,Asia,$1B,$1B,12/1/2012
3.3%,85%,,Below Threshold,$953,Above 3%,68,Moderate,Tajikistan,24,141,,$0,$8B,5.8%,$55,224,0.042,15%,0.252,71,64,82%,1,0.358,0.61,0.032,8.0M,26.6%,Asia,$0B,$0B,12/1/2012
3.5%,36%,,Below Threshold,$688,Above 3%,61,Low,Afghanistan,7,170,,$0,$21B,8.6%,$51,275,0.072,6%,0.15,62,59,66%,1,0.474,0.503,0.023,29.8M,25.5%,Asia,$0B,$0B,12/1/2012
3.6%,11%,,Below Threshold,"$1,179",Above 3%,68,Low,Timor-Leste,94,167,,$0,$1B,4.3%,$50,276,0.048,1%,0.122,69,66,56%,1,0.463,0.505,0.032,1.1M,30.8%,Asia,$0B,$0B,12/1/2012
,,,Below Threshold,"$126,599",Above 3%,,Not Clustered,Monaco,,,,"$126,576",$4B,4.0%,"$4,960",,0.004,56%,,,,51%,1,,,,0.0M,100.0%,Europe,,,12/1/2005
,,766,Below Threshold,"$35,212",Above 3%,80,Not Clustered,Faeroe Islands,,,,"$32,816",$2B,,,,,68%,,82,77,86%,1,,,,0.0M,39.8%,Europe,,,12/1/2005
0.8%,43%,25618,Below Threshold,"$2,822",Below 1.5%,76,Moderate,Bosnia and Herzegovina,63,,5042,$0,$11B,8.7%,$246,368,0.007,21%,0.096,78,73,41%,1,0.189,0.68,0.131,3.9M,39.2%,Europe,$1B,$0B,12/1/2005
0.8%,48%,806703,Below Threshold,"$33,588",Below 1.5%,79,Very Friendly,Germany,45,,335185,"$32,816","$2,770B",10.8%,"$3,624",196,0.004,69%,,82,76,95%,1,0.143,0.667,0.189,82.5M,73.4%,Europe,$41B,$85B,12/1/2005
0.9%,57%,333869,Below Threshold,"$1,829",Below 1.5%,68,Moderate,Ukraine,34,,142883,$0,$86B,6.4%,$117,"2,085",0.013,4%,0.162,74,62,64%,1,0.147,0.695,0.158,47.1M,67.8%,Europe,$4B,$3B,12/1/2005
0.9%,137%,59064,Below Threshold,"$3,126",Below 1.5%,69,Friendly,Belarus,79,,26874,$0,$30B,6.9%,$215,987,0.007,,0.114,75,63,42%,1,0.155,0.698,0.147,9.7M,72.4%,Europe,$0B,$1B,12/1/2005
0.9%,51%,13993,Below Threshold,"$7,851",Below 1.5%,71,Very Friendly,Lithuania,26,,8848,"$4,688",$26B,5.8%,$446,166,0.008,36%,0.053,77,65,133%,1,0.167,0.681,0.151,3.3M,66.6%,Europe,$1B,$1B,12/1/2005
0.9%,45%,47909,Below Threshold,"$3,733",Below 1.5%,73,Friendly,Bulgaria,32,,19898,$0,$29B,7.3%,$274,616,0.014,20%,0.087,76,69,81%,1,0.137,0.689,0.174,7.7M,70.6%,Europe,$3B,$2B,12/1/2005
0.9%,39%,15867,Below Threshold,"$17,855",Below 1.5%,78,Very Friendly,Slovenia,60,,7293,"$14,064",$36B,8.4%,"$1,494",260,0.004,47%,0.078,81,74,88%,1,0.142,0.703,0.155,2.0M,50.5%,Europe,$2B,$1B,12/1/2005
1.0%,60%,1615688,Below Threshold,"$5,338",Below 1.5%,66,Moderate,Russia,29,,651712,"$4,688",$764B,5.2%,$277,448,0.014,15%,0.107,72,59,83%,1,0.152,0.71,0.138,143.1M,73.5%,Europe,$8B,$18B,12/1/2005
1.0%,36%,7176,Below Threshold,"$7,165",Below 1.5%,72,Very Friendly,Latvia,16,,4528,"$4,688",$16B,6.4%,$442,320,0.011,46%,0.061,77,66,84%,1,0.148,0.681,0.172,2.2M,68.0%,Europe,$0B,$1B,12/1/2005
1.0%,56%,95676,Below Threshold,"$4,652",Below 1.5%,72,Friendly,Romania,11,,38693,$0,$99B,5.5%,$251,190,0.018,22%,0.196,76,68,60%,1,0.155,0.697,0.148,21.3M,53.2%,Europe,$1B,$1B,12/1/2005
1.0%,57%,57917,Below Threshold,"$10,905",Below 1.5%,73,Friendly,Hungary,38,,27583,"$9,376",$110B,8.4%,$923,340,0.007,39%,0.085,77,69,92%,1,0.155,0.688,0.157,10.1M,66.4%,Europe,$5B,$3B,12/1/2005
1.0%,36%,,Below Threshold,"$3,391",Below 1.5%,73,Friendly,Serbia,23,,16051,$0,$25B,9.1%,$307,279,0.008,26%,0.168,75,70,67%,1,0.181,0.679,0.14,7.4M,54.5%,Europe,$0B,$0B,12/1/2005
1.0%,49%,39175,Below Threshold,"$11,415",Below 1.5%,74,Very Friendly,Slovakia,27,,18830,"$9,376",$61B,7.0%,$627,325,0.008,55%,0.067,78,70,84%,1,0.168,0.716,0.117,5.4M,55.6%,Europe,$1B,$1B,12/1/2005
1.0%,43%,303598,Below Threshold,"$7,965",Below 1.5%,75,Very Friendly,Poland,31,,92377,"$4,688",$304B,6.2%,$494,418,0.007,39%,0.068,79,71,76%,1,0.164,0.703,0.133,38.2M,61.5%,Europe,$7B,$6B,12/1/2005
1.0%,21%,23106,Below Threshold,"$10,090",Below 1.5%,76,Friendly,Croatia,29,,8905,"$9,376",$45B,7.0%,$705,232,0.006,33%,0.112,79,72,83%,1,0.16,0.67,0.171,4.4M,56.4%,Europe,$8B,$1B,12/1/2005
1.0%,49%,120736,Below Threshold,"$12,731",Below 1.5%,76,Friendly,Czech Republic,40,,44941,"$9,376",$130B,6.9%,$882,930,0.004,35%,0.058,79,73,115%,1,0.148,0.711,0.141,10.2M,73.6%,Europe,$6B,$3B,12/1/2005
1.0%,44%,65309,Below Threshold,"$18,280",Below 1.5%,78,Very Friendly,Portugal,54,,26467,"$14,064",$192B,10.4%,"$1,886",328,0.004,35%,,81,75,109%,1,0.156,0.673,0.171,10.5M,57.5%,Europe,$9B,$4B,12/1/2005
1.0%,,2699,Below Threshold,"$14,810",Below 1.5%,79,Friendly,Malta,,,881,"$14,064",$6B,9.1%,"$1,394",,0.006,41%,0.055,81,77,78%,1,0.173,0.694,0.133,0.4M,93.6%,Europe,$1B,$0B,12/1/2005
